,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre, pop,R&B,country,rock, rock, Folk/Acoustic, easy listening, Dance/Electronic,set(),pop, R&B,World/Traditional, metal, blues,latin,Dance/Electronic, latin,easy listening, jazz, country,metal,Folk/Acoustic, classical, hip hop,hip hop,cat,cluster
0,blink-182,All The Small Things,0.14567313132837212,0.0,1999,0.8876404494382022,0.3605200945626478,0.8919605973943439,0.0,0.7706295088447476,1.0,0.0463096960926194,0.010533813779943212,0.0,0.7101623571858088,0.6908760295218741,0.5881179060146388,"rock, pop",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,4
1,Eminem,The Real Slim Shady,0.4612739999892226,1.0,2000,0.9662921348314607,0.9692671394799054,0.6419870776400806,0.45454545454545453,0.803933194979741,0.0,0.06150506512301014,0.030923559151983318,0.0,0.028743235117257973,0.7721681463258103,0.29493078391853195,hip hop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2222222222222222,7
2,Modjo,Lady - Hear Me Tonight,0.5231175871489926,0.0,2001,0.8651685393258427,0.6985815602836879,0.7976909225717616,0.5454545454545454,0.7355964028066014,1.0,0.0265918958031838,0.008105487321062053,0.029746192893401014,0.050390859891761876,0.8887581559525083,0.4377187864644107,Dance/Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2222222222222222,5
3,Alice Deejay,Better Off Alone,0.2745092227856423,0.0,2000,0.8202247191011236,0.640661938534279,0.8739540302934011,0.7272727272727273,0.7098033402510129,0.0,0.057887120115774245,0.0018348721614195689,0.7015228426395939,0.3168971737823211,0.7957000748743182,0.5100641773628938,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,5
4,Gigi D'Agostino,The Riddle,0.46457728225550055,0.0,1999,0.7191011235955056,0.7222222222222222,0.8697171909755322,0.5454545454545454,0.6741772902460716,0.0,0.024782923299565857,0.017706086021364354,0.0015431472081218274,0.06855081178592905,0.8416942988554925,0.4440901135037658,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,5
5,Linkin Park,In the End,0.27988985466635774,0.0,2000,0.9325842696629213,0.504728132387707,0.8570066730219257,0.2727272727272727,0.7235892874789999,0.0,0.06367583212735167,0.009796094349397037,0.0,0.22549609140108237,0.38710022462295435,0.29916728545666704,"rock, metal",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,4
6,Linkin Park,In the End,0.27988985466635774,0.0,2000,0.9325842696629213,0.504728132387707,0.8570066730219257,0.2727272727272727,0.7235892874789999,0.0,0.06367583212735167,0.009796094349397037,0.0,0.22549609140108237,0.38710022462295435,0.29916728545666704,"rock, metal",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,4
7,Da Brat,What'chu Like (feat. Tyrese),0.2914217046660883,1.0,2000,0.5955056179775281,0.8865248226950355,0.6631712742294249,0.9090909090909091,0.5713509240043482,0.0,0.3921852387843705,0.01739870292530345,0.0,0.05460012026458208,0.8331372339287624,0.2648973692585128,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,7
8,DMX,Party Up,0.4199587224434589,1.0,1999,0.797752808988764,0.45035460992907805,0.9279737315962293,1.0,0.8504792963731594,1.0,0.5857452966714906,0.07559656911283502,0.0,0.5754660252555622,0.526152529682319,0.9408945051447969,"hip hop, pop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666666666666666,7
9,Britney Spears,Born to Make You Happy,0.3517025644894462,0.0,1999,0.651685393258427,0.5957446808510638,0.9184408431310243,1.0,0.7743848206344501,0.0,0.04015918958031839,0.11883512462540248,0.0004720812182741117,0.059530968129885745,0.6930152957535566,0.15972074891269758,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,5
